2025-04-11T12:26:12+02:00
Running ./hyriseBenchmarkPlayground
Run on (224 X 3800 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x112)
  L1 Instruction 32 KiB (x112)
  L2 Unified 1024 KiB (x112)
  L3 Unified 39424 KiB (x4)
Load Average: 0.46, 0.29, 0.19
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparisons","Matches","branch-instructions","branch-misses","cache-misses","cycles","instructions"
"BM_JoinLinBin128/10485760/10485760/1024/iterations:5",5,3.65963,3.65949,ms,,,,,,0,1.04858e+07,2.34765e+06,20214.4,116974,1.37606e+07,1.15239e+07
"BM_JoinLinBin128/10485760/10485760/2048/iterations:5",5,1.33575,1.33557,ms,,,,,,0,1.04858e+07,1.17624e+06,20908.6,49653,5.00782e+06,5.77409e+06
"BM_JoinLinBin128/52428800/52428800/1/iterations:5",5,441.001,440.988,ms,,,,,,0,5.24288e+07,8.38861e+08,28.4,1.30731e+07,1.66482e+09,6.29146e+09
"BM_JoinLinBin128/52428800/52428800/2/iterations:5",5,233.038,233.025,ms,,,,,,0,5.24288e+07,4.45645e+08,13,9.72459e+06,8.79882e+08,3.2768e+09
"BM_JoinLinBin128/52428800/52428800/4/iterations:5",5,130.906,130.892,ms,,,,,,0,5.24288e+07,2.49037e+08,11.6,8.04404e+06,4.93966e+08,1.76947e+09
"BM_JoinLinBin128/52428800/52428800/8/iterations:5",5,83.9931,83.9849,ms,,,,,,0,5.24288e+07,1.57287e+08,35.8,7.197e+06,3.16818e+08,1.04202e+09
"BM_JoinLinBin128/52428800/52428800/16/iterations:5",5,60.9417,60.9428,ms,,,,,,0,5.24288e+07,1.11411e+08,43,6.76494e+06,2.29768e+08,6.78298e+08
"BM_JoinLinBin128/52428800/52428800/32/iterations:5",5,50.2934,50.2942,ms,,,,,,0,5.24288e+07,8.84737e+07,61.4,6.54408e+06,1.89629e+08,4.96435e+08
"BM_JoinLinBin128/52428800/52428800/64/iterations:5",5,44.3751,44.3759,ms,,,,,,0,5.24288e+07,7.70049e+07,60.2,6.42615e+06,1.67513e+08,4.05504e+08
"BM_JoinLinBin128/52428800/52428800/128/iterations:5",5,47.2489,47.2497,ms,,,,,,0,5.24288e+07,7.12705e+07,101.4,6.36425e+06,1.78382e+08,3.60039e+08
"BM_JoinLinBin128/52428800/52428800/256/iterations:5",5,93.2632,93.2479,ms,,,,,,0,5.24288e+07,4.76315e+07,7517.8,6.99036e+06,3.5172e+08,2.33383e+08
"BM_JoinLinBin128/52428800/52428800/512/iterations:5",5,52.4366,52.4375,ms,,,,,,0,5.24288e+07,2.3879e+07,18571.2,4.72496e+06,1.97831e+08,1.17014e+08
"BM_JoinLinBin128/52428800/52428800/1024/iterations:5",5,25.8444,25.8447,ms,,,,,,0,5.24288e+07,1.19725e+07,31980.6,2.25557e+06,9.75722e+07,5.86719e+07
"BM_JoinLinBin128/52428800/52428800/2048/iterations:5",5,13.8796,13.8796,ms,,,,,,0,5.24288e+07,6.00139e+06,46208.4,775184,5.22749e+07,2.94116e+07
"BM_JoinBin/1048576/1048576/1/iterations:5",5,44.8975,44.8982,ms,,,,,,0,1.04858e+06,9.01776e+07,570421,2476.8,1.69555e+08,4.49839e+08
"BM_JoinBin/1048576/1048576/2/iterations:5",5,22.0417,22.0421,ms,,,,,,0,1.04858e+06,4.66617e+07,17322.8,334,8.325e+07,2.3226e+08
"BM_JoinBin/1048576/1048576/4/iterations:5",5,11.261,11.2612,ms,,,,,,0,1.04858e+06,2.33309e+07,5907.6,62,4.2557e+07,1.16196e+08
"BM_JoinBin/1048576/1048576/8/iterations:5",5,5.91119,5.91129,ms,,,,,,0,1.04858e+06,1.1731e+07,2333.6,14.4,2.23354e+07,5.84257e+07
"BM_JoinBin/1048576/1048576/16/iterations:5",5,3.09024,3.09029,ms,,,,,,0,1.04858e+06,5.88193e+06,663.6,1.4,1.16725e+07,2.9299e+07
